,time,mkt,code,K,S,T,CorP
34952,2021-05-06 10:00:00,0.5338,510050P2112A03900,3.9,3.5001158610000003,0.6230158730158729,0
34953,2021-05-06 10:00:00,0.0055,510050P2105M03300,3.3,3.5001158610000003,0.05952380952380953,0
34954,2021-05-06 10:00:00,0.3622,510050P2112A03700,3.7,3.5001158610000003,0.6230158730158729,0
34955,2021-05-06 10:00:00,0.1811,510050P2109M03500,3.5,3.5001158610000003,0.3849206349206349,0
34956,2021-05-06 10:00:00,0.0407,510050P2109M03100,3.1,3.5001158610000003,0.3849206349206349,0
34957,2021-05-06 10:00:00,0.4348,510050C2112A03100,3.1,3.5001158610000003,0.6230158730158729,1
34958,2021-05-06 10:30:00,0.7638,510050P2109M04200,4.2,3.470832654,0.3809523809523809,0
34959,2021-05-06 10:30:00,0.07,510050P2109M03200,3.2,3.470832654,0.3809523809523809,0
34960,2021-05-06 10:30:00,0.0193,510050C2105M03600,3.6,3.470832654,0.05555555555555555,1
34961,2021-05-06 10:30:00,0.0417,510050C2109M03900,3.9,3.470832654,0.3809523809523809,1
34962,2021-05-06 10:30:00,0.3792,510050C2105M03100,3.1,3.470832654,0.05555555555555555,1
34963,2021-05-06 10:30:00,0.3168,510050C2109M03200,3.2,3.470832654,0.3809523809523809,1
34964,2021-05-06 10:30:00,0.0061,510050C2105M03700,3.7,3.470832654,0.05555555555555555,1
34965,2021-05-06 10:30:00,0.4751,510050C2109M03000,3.0,3.470832654,0.3809523809523809,1
34966,2021-05-06 10:30:00,0.027000000000000003,510050P2105M03400,3.4,3.470832654,0.05555555555555555,0
34967,2021-05-06 10:30:00,0.105,510050C2105M03400,3.4,3.470832654,0.05555555555555555,1
34968,2021-05-06 10:30:00,0.0794,510050C2109M03700,3.7,3.470832654,0.3809523809523809,1
34969,2021-05-06 10:30:00,0.2894,510050C2112A03300,3.3,3.470832654,0.6190476190476191,1
34970,2021-05-06 10:30:00,0.4222,510050P2105M03900,3.9,3.470832654,0.05555555555555555,0
34971,2021-05-06 10:30:00,0.85,510050P2109M04300,4.3,3.470832654,0.3809523809523809,0
34972,2021-05-06 10:30:00,0.057999999999999996,510050C2109M03800,3.8,3.470832654,0.3809523809523809,1
34973,2021-05-06 10:30:00,0.4801,510050C2105M03000,3.0,3.470832654,0.05555555555555555,1
34974,2021-05-06 10:30:00,0.1539,510050P2112A03300,3.3,3.470832654,0.6190476190476191,0
34975,2021-05-06 10:30:00,0.629,510050P2106M04100,4.1,3.470832654,0.13095238095238096,0
34976,2021-05-06 10:30:00,0.3622,510050P2112A03700,3.7,3.470832654,0.6190476190476191,0
34977,2021-05-06 10:30:00,0.1955,510050P2109M03500,3.5,3.470832654,0.3809523809523809,0
34978,2021-05-06 10:30:00,0.0706,510050P2105M03500,3.5,3.470832654,0.05555555555555555,0
34979,2021-05-06 10:30:00,0.3651,510050C2112A03200,3.2,3.470832654,0.6190476190476191,1
34980,2021-05-06 10:30:00,0.1408,510050P2105M03600,3.6,3.470832654,0.05555555555555555,0
34981,2021-05-06 10:30:00,0.0035,510050C2106M04100,4.1,3.470832654,0.13095238095238096,1
34982,2021-05-06 10:30:00,0.1933,510050C2109M03400,3.4,3.470832654,0.3809523809523809,1
34983,2021-05-06 10:30:00,0.0022,510050C2105M03800,3.8,3.470832654,0.05555555555555555,1
34984,2021-05-06 10:30:00,0.1463,510050C2109M03500,3.5,3.470832654,0.3809523809523809,1
34985,2021-05-06 10:30:00,0.0178,510050C2109M04200,4.2,3.470832654,0.3809523809523809,1
34986,2021-05-06 10:30:00,0.4464,510050P2112A03800,3.8,3.470832654,0.6190476190476191,0
34987,2021-05-06 10:30:00,0.0763,510050C2112A03900,3.9,3.470832654,0.6190476190476191,1
34988,2021-05-06 10:30:00,0.5551,510050P2109M04000,4.0,3.470832654,0.3809523809523809,0
34989,2021-05-06 10:30:00,0.5206,510050P2105M04000,4.0,3.470832654,0.05555555555555555,0
34990,2021-05-06 10:30:00,0.405,510050P2109M03800,3.8,3.470832654,0.3809523809523809,0
34991,2021-05-06 10:30:00,0.2815,510050C2105M03200,3.2,3.470832654,0.05555555555555555,1
34992,2021-05-06 10:30:00,0.929,510050P2106M04400,4.4,3.470832654,0.13095238095238096,0
34993,2021-05-06 10:30:00,0.0486,510050C2105M03500,3.5,3.470832654,0.05555555555555555,1
34994,2021-05-06 10:30:00,0.2584,510050P2109M03600,3.6,3.470832654,0.3809523809523809,0
34995,2021-05-06 10:30:00,0.2485,510050C2112A03400,3.4,3.470832654,0.6190476190476191,1
34996,2021-05-06 10:30:00,0.93,510050P2109M04400,4.4,3.470832654,0.3809523809523809,0
34997,2021-05-06 10:30:00,0.1537,510050C2112A03600,3.6,3.470832654,0.6190476190476191,1
34998,2021-05-06 10:30:00,0.3921,510050C2109M03100,3.1,3.470832654,0.3809523809523809,1
34999,2021-05-06 10:30:00,0.0458,510050P2109M03100,3.1,3.470832654,0.3809523809523809,0
35000,2021-05-06 10:30:00,0.001,510050C2105M03900,3.9,3.470832654,0.05555555555555555,1
35001,2021-05-06 10:30:00,0.0008,510050P2105M03000,3.0,3.470832654,0.05555555555555555,0
35002,2021-05-06 10:30:00,0.003,510050C2106M04300,4.3,3.470832654,0.13095238095238096,1
35003,2021-05-06 10:30:00,0.0956,510050C2112A03800,3.8,3.470832654,0.6190476190476191,1
35004,2021-05-06 10:30:00,0.1439,510050P2109M03400,3.4,3.470832654,0.3809523809523809,0
35005,2021-05-06 10:30:00,0.0029,510050P2105M03200,3.2,3.470832654,0.05555555555555555,0
35006,2021-05-06 10:30:00,0.1018,510050P2109M03300,3.3,3.470832654,0.3809523809523809,0
35007,2021-05-06 10:30:00,0.73,510050P2106M04200,4.2,3.470832654,0.13095238095238096,0
35008,2021-05-06 10:30:00,0.0085,510050P2105M03300,3.3,3.470832654,0.05555555555555555,0
35009,2021-05-06 10:30:00,0.3232,510050P2105M03800,3.8,3.470832654,0.05555555555555555,0
35010,2021-05-06 10:30:00,0.5338,510050P2112A03900,3.9,3.470832654,0.6190476190476191,0
35011,2021-05-06 10:30:00,0.1995,510050P2112A03400,3.4,3.470832654,0.6190476190476191,0
35012,2021-05-06 10:30:00,0.8174,510050P2106M04300,4.3,3.470832654,0.13095238095238096,0
35013,2021-05-06 10:30:00,0.2518,510050P2112A03500,3.5,3.470832654,0.6190476190476191,0
35014,2021-05-06 10:30:00,0.2502,510050C2109M03300,3.3,3.470832654,0.3809523809523809,1
35015,2021-05-06 10:30:00,0.1868,510050C2105M03300,3.3,3.470832654,0.05555555555555555,1
35016,2021-05-06 10:30:00,0.0029,510050C2106M04200,4.2,3.470832654,0.13095238095238096,1
35017,2021-05-06 10:30:00,0.2278,510050P2105M03700,3.7,3.470832654,0.05555555555555555,0
35018,2021-05-06 10:30:00,0.3145,510050P2112A03600,3.6,3.470832654,0.6190476190476191,0
35019,2021-05-06 10:30:00,0.0008,510050C2105M04000,4.0,3.470832654,0.05555555555555555,1
35020,2021-05-06 10:30:00,0.1089,510050C2109M03600,3.6,3.470832654,0.3809523809523809,1
35021,2021-05-06 10:30:00,0.6644,510050P2109M04100,4.1,3.470832654,0.3809523809523809,0
35022,2021-05-06 10:30:00,0.0118,510050C2109M04400,4.4,3.470832654,0.3809523809523809,1
35023,2021-05-06 10:30:00,0.0842,510050P2112A03100,3.1,3.470832654,0.6190476190476191,0
35024,2021-05-06 10:30:00,0.1225,510050C2112A03700,3.7,3.470832654,0.6190476190476191,1
35025,2021-05-06 10:30:00,0.3286,510050P2109M03700,3.7,3.470832654,0.3809523809523809,0
35026,2021-05-06 10:30:00,0.0026,510050C2106M04400,4.4,3.470832654,0.13095238095238096,1
35027,2021-05-06 10:30:00,0.4186,510050C2112A03100,3.1,3.470832654,0.6190476190476191,1
35028,2021-05-06 10:30:00,0.0294,510050P2109M03000,3.0,3.470832654,0.3809523809523809,0
35029,2021-05-06 10:30:00,0.0311,510050C2109M04000,4.0,3.470832654,0.3809523809523809,1
35030,2021-05-06 10:30:00,0.1137,510050P2112A03200,3.2,3.470832654,0.6190476190476191,0
35031,2021-05-06 10:30:00,0.0142,510050C2109M04300,4.3,3.470832654,0.3809523809523809,1
35032,2021-05-06 10:30:00,0.0231,510050C2109M04100,4.1,3.470832654,0.3809523809523809,1
35033,2021-05-06 10:30:00,0.4918,510050P2109M03900,3.9,3.470832654,0.3809523809523809,0
35034,2021-05-06 10:30:00,0.0015,510050P2105M03100,3.1,3.470832654,0.05555555555555555,0
35035,2021-05-06 10:30:00,0.1909,510050C2112A03500,3.5,3.470832654,0.6190476190476191,1
35036,2021-05-06 11:00:00,0.2216,510050C2112A03400,3.4,3.44329944,0.6190476190476191,1
35037,2021-05-06 11:00:00,0.1131,510050P2109M03300,3.3,3.44329944,0.3809523809523809,0
35038,2021-05-06 11:00:00,0.0028,510050C2106M04300,4.3,3.44329944,0.13095238095238096,1
35039,2021-05-06 11:00:00,0.5551,510050P2109M04000,4.0,3.44329944,0.3809523809523809,0
35040,2021-05-06 11:00:00,0.1767,510050C2112A03500,3.5,3.44329944,0.6190476190476191,1
35041,2021-05-06 11:00:00,0.0374,510050C2109M03900,3.9,3.44329944,0.3809523809523809,1
35042,2021-05-06 11:00:00,0.4606,510050P2105M03900,3.9,3.44329944,0.05555555555555555,0
35043,2021-05-06 11:00:00,0.0877,510050C2112A03800,3.8,3.44329944,0.6190476190476191,1
35044,2021-05-06 11:00:00,0.1594,510050P2109M03400,3.4,3.44329944,0.3809523809523809,0
35045,2021-05-06 11:00:00,0.0011,510050P2105M03000,3.0,3.44329944,0.05555555555555555,0
35046,2021-05-06 11:00:00,0.0032,510050C2106M04100,4.1,3.44329944,0.13095238095238096,1
35047,2021-05-06 11:00:00,0.04,510050P2105M03400,3.4,3.44329944,0.05555555555555555,0
35048,2021-05-06 11:00:00,0.1531,510050C2105M03300,3.3,3.44329944,0.05555555555555555,1
35049,2021-05-06 11:00:00,0.0042,510050P2105M03200,3.2,3.44329944,0.05555555555555555,0
35050,2021-05-06 11:00:00,0.3605,510050P2105M03800,3.8,3.44329944,0.05555555555555555,0
35051,2021-05-06 11:00:00,0.0009,510050C2105M03900,3.9,3.44329944,0.05555555555555555,1
35052,2021-05-06 11:00:00,0.0517,510050C2109M03800,3.8,3.44329944,0.3809523809523809,1
35053,2021-05-06 11:00:00,0.1314,510050C2109M03500,3.5,3.44329944,0.3809523809523809,1
35054,2021-05-06 11:00:00,0.0015,510050C2105M03800,3.8,3.44329944,0.05555555555555555,1
35055,2021-05-06 11:00:00,0.0686,510050C2112A03900,3.9,3.44329944,0.6190476190476191,1
35056,2021-05-06 11:00:00,0.5562,510050P2112A03900,3.9,3.44329944,0.6190476190476191,0
35057,2021-05-06 11:00:00,0.0131,510050C2109M04300,4.3,3.44329944,0.3809523809523809,1
35058,2021-05-06 11:00:00,0.364,510050C2109M03100,3.1,3.44329944,0.3809523809523809,1
35059,2021-05-06 11:00:00,0.2137,510050P2112A03400,3.4,3.44329944,0.6190476190476191,0
35060,2021-05-06 11:00:00,0.5566,510050P2105M04000,4.0,3.44329944,0.05555555555555555,0
35061,2021-05-06 11:00:00,0.0166,510050C2109M04200,4.2,3.44329944,0.3809523809523809,1
35062,2021-05-06 11:00:00,0.28,510050P2109M03600,3.6,3.44329944,0.3809523809523809,0
35063,2021-05-06 11:00:00,0.245,510050C2105M03200,3.2,3.44329944,0.05555555555555555,1
35064,2021-05-06 11:00:00,0.0969,510050C2109M03600,3.6,3.44329944,0.3809523809523809,1
35065,2021-05-06 11:00:00,0.965,510050P2106M04400,4.4,3.44329944,0.13095238095238096,0
35066,2021-05-06 11:00:00,0.987,510050P2109M04400,4.4,3.44329944,0.3809523809523809,0
35067,2021-05-06 11:00:00,0.4745,510050P2112A03800,3.8,3.44329944,0.6190476190476191,0
35068,2021-05-06 11:00:00,0.0008,510050C2105M04000,4.0,3.44329944,0.05555555555555555,1
35069,2021-05-06 11:00:00,0.0338,510050C2105M03500,3.5,3.44329944,0.05555555555555555,1
35070,2021-05-06 11:00:00,0.2706,510050P2112A03500,3.5,3.44329944,0.6190476190476191,0
35071,2021-05-06 11:00:00,0.0028,510050C2106M04200,4.2,3.44329944,0.13095238095238096,1
35072,2021-05-06 11:00:00,0.3427,510050C2105M03100,3.1,3.44329944,0.05555555555555555,1
35073,2021-05-06 11:00:00,0.0212,510050C2109M04100,4.1,3.44329944,0.3809523809523809,1
35074,2021-05-06 11:00:00,0.6644,510050P2109M04100,4.1,3.44329944,0.3809523809523809,0
35075,2021-05-06 11:00:00,0.2632,510050P2105M03700,3.7,3.44329944,0.05555555555555555,0
35076,2021-05-06 11:00:00,0.8558,510050P2106M04300,4.3,3.44329944,0.13095238095238096,0
35077,2021-05-06 11:00:00,0.392,510050C2112A03100,3.1,3.44329944,0.6190476190476191,1
35078,2021-05-06 11:00:00,0.0774,510050P2109M03200,3.2,3.44329944,0.3809523809523809,0
35079,2021-05-06 11:00:00,0.428,510050P2109M03800,3.8,3.44329944,0.3809523809523809,0
35080,2021-05-06 11:00:00,0.0704,510050C2109M03700,3.7,3.44329944,0.3809523809523809,1
35081,2021-05-06 11:00:00,0.76,510050P2106M04200,4.2,3.44329944,0.13095238095238096,0
35082,2021-05-06 11:00:00,0.0942,510050P2105M03500,3.5,3.44329944,0.05555555555555555,0
35083,2021-05-06 11:00:00,0.3333,510050C2112A03200,3.2,3.44329944,0.6190476190476191,1
